Code,产品名称
RETA.US,Reata制药
TPR.US,Tapestry
WFRD.US,威德福国际
RCM.US,R1 RCM
LSTR.US,莱帝运输
IVZ.US,景顺
FR.US,第一工业地产
CHRD.US,Chord Energy
ACHC.US,阿卡迪亚医疗保健
GRFS.US,基立福
MSA.US,MSA Safety
BRX.US,Brixmor Property
CNM.US,Core & Main
RLI.US,RLI保险
TXRH.US,德州公路酒吧
APPF.US,Appfolio
ZI.US,ZoomInfo
SIGI.US,选择性保险
DUOL.US,多邻国
KT.US,韩国电信
RIG.US,越洋钻探
SSD.US,辛普森配件制造
UFPI.US,UFP Industries
KRTX.US,Karuna Therapeutics
STAG.US,Stag工业
OSK.US,Oshkosh
SPSC.US,SPS商贸
STWD.US,喜达屋不动产信托
HQY.US,Healthequity
FHN.US,第一地平线
NFE.US,New Fortress Energy
IGT.US,国际游戏科技
LFUS.US,美国力特保险丝
HRB.US,HR布洛克服务
COKE.US,可口可乐合并
ALGM.US,Allegro
IONS.US,伊奥尼斯制药
KGC.US,金罗斯黄金
DSGX.US,笛卡尔物流系统集团
CHH.US,精选国际酒店
GLBE.US,Global-E Online
FIX.US,Comfort Systems USA
SN.US,SharkNinja
CPRI.US,Capri Holdings
BYD.US,博伊德赌场
FCN.US,FTI咨询
ONTO.US,Onto Innovation
WH.US,温德姆酒店及度假村
IRDM.US,铱星通讯
MTZ.US,马斯科技大型工程
AFRM.US,Affirm Holdings
CACC.US,Credit Acceptance
APG.US,APi Group
FAF.US,第一美国
AIT.US,应用工业技术
NEWR.US,New Relic
OPCH.US,Option Care
BLCO.US,博士伦
AXTA.US,Axalta涂层系统
AGNC.US,美国资本代理
WFG.US,西弗雷泽木业
HR.US,医疗保健房地产信托
PII.US,北极星
INFA.US,Informatica
NXT.US,Nextracker
CBSH.US,科默斯银行
OLN.US,欧林
RMBS.US,蓝博士半导体
CMC.US,美国工商五金
CFR.US,库伦佛寺银行
EXP.US,老鹰材料
WTS.US,沃茨水工业
PSN.US,Parsons
ELF.US,e.l.f.美容
AMKR.US,艾马克技术
AM.US,Antero Midstream
DOOO.US,BRP
FRSH.US,Freshworks
ENLC.US,Enlink Midstream
MKSI.US,MKS仪器
FN.US,Fabrinet
QLYS.US,科力斯
ST.US,Sensata
BILI.US,哔哩哔哩
DLO.US,DLocal
SAIC.US,科学应用
FSK.US,FS KKR Capital
PAAS.US,泛美白银
ELAN.US,Elanco Animal Health
MHK.US,莫霍克工业
MTSI.US,MACOM Technology
HXL.US,赫氏
WK.US,Workiva
VAL.US,Valaris
BC.US,布朗斯威克
ADC.US,艾格里不动产
REYN.US,Reynolds Consumer
NTRA.US,Natera
ADT.US,ADT
ASND.US,Ascendis制药
ATKR.US,Atkore
CMA.US,联信银行
INSP.US,Inspire Medical系统
ATI.US,ATI
PPC.US,皮尔格林普拉德
POST.US,Post Holdings
BRBR.US,BellRing Brands
OBDC.US,Blue Owl Capital
CROX.US,卡骆驰
SMAR.US,Smartsheet
MSM.US,MSC Industrial
ALSN.US,艾里逊变速箱
NSIT.US,洞察企业
SON.US,索诺科产品
FLR.US,福陆
TENB.US,Tenable Holdings
ENSG.US,恩赛因
GME.US,游戏驿站
BOKF.US,BOK银行
HALO.US,奥洛兹美医疗
ABCM.US,Abcam
ESNT.US,Essent Group
EVR.US,Evercore
ITCI.US,Intra-cellular
FRHC.US,Freedom Holding
DTM.US,DT Midstream
DDS.US,狄乐百货
APLS.US,Apellis制药
AYI.US,敏锐品牌
TKR.US,铁姆肯
SSB.US,South State
ACLS.US,亚舍立科技
WIX.US,Wix.com
FLS.US,福斯
GMED.US,Globus医疗
LEVI.US,李维斯
WING.US,Wingstop
YPF.US,阿根廷YPF
AA.US,美国铝业
UGI.US,UGI公用事业
ALTR.US,Altair Engineering
ZION.US,齐昂银行
PB.US,普罗斯佩里蒂银行
MASI.US,麦斯莫医疗
PNFP.US,顶尖金融
NOVT.US,Novanta
VMI.US,维蒙特工业
KNTK.US,Kinetik Holdings
KEX.US,卡比海运
WAL.US,阿莱恩斯西部银行
THO.US,索尔工业
AXS.US,埃克斯资本
BFAM.US,Bright Horizons
PCVX.US,Vaxcyte
BEPC.US,Brookfield Renewable
SNDR.US,Schneider National
IDA.US,IDACORP
NXST.US,耐思星传媒集团
SRC.US,Spirit Realty
WU.US,西联汇款
CLVT.US,Clarivate
DEN.US,丹博里
CR.US,Crane
RHP.US,莱曼酒店地产
TRNO.US,特雷诺房地产
RH.US,RH
TXG.US,10x Genomics
FLO.US,花苑食品
ALKS.US,阿尔凯默斯
CIGI.US,高力国际集团
BXSL.US,Blackstone Secured
HLNE.US,Hamilton Lane
BECN.US,比肯鲁夫
CWEN.US,Clearway Energy C
NFG.US,National Fuel Gas
FIVN.US,Five9
GIL.US,吉登运动服
QDEL.US,QuidelOrtho
SLGN.US,Silgan控股
ZWS.US,Zurn Elkay Water
OMF.US,OneMain Holdings
WOLF.US,Wolfspeed
MTG.US,MGIC投资
PSNY.US,极星汽车 A
ALK.US,阿拉斯加航空
CWAN.US,Clearwater Analytics
AGI.US,Alamos Gold
IPGP.US,IPG光电
SUN.US,太阳石油
AQN.US,Algonquin Power
R.US,莱德系统
TMHC.US,泰勒·莫里森家
KRG.US,凯特地产信托
COHR.US,Coherent
VNT.US,Vontier
OLLI.US,奥利廉价出口控股
S.US,SentinelOne
RITM.US,Rithm Capital
OGN.US,Organon
MGY.US,Magnolia Oil & Gas
AIRC.US,Apartment Income
OMAB.US,北方中心机场
AAON.US,艾伦建材
MMS.US,马克西姆斯服务
EXLS.US,伊克赛尔服务控股
AMG.US,AMG资管
WTFC.US,信达金融
SAM.US,波斯顿啤酒
DV.US,DoubleVerify
HOG.US,哈雷戴维森
TAL.US,好未来
SBSW.US,Sibanye
LANC.US,兰卡斯特食品
ESI.US,Element Solutions
ABG.US,阿斯伯里汽车集团
HAE.US,美国血液技术
NEP.US,Nextera Energy
TRTN.US,特里同国际
NVST.US,Envista Holdings
IQ.US,爱奇艺
PVH.US,休森
MSTR.US,微策投资
SEE.US,希悦尔
AZEK.US,AZEK
MTH.US,Meritage Homes
CWST.US,卡塞拉废物系统
PLUG.US,普拉格能源
RELY.US,Remitly Global
BMI.US,Badger Meter
VNOM.US,Viper Energy
FOUR.US,Shift4 Payments
BPOP.US,大众银行
CC.US,The Chemours
HCP.US,HashiCorp
SWX.US,Southwest Gas控股
VVV.US,胜牌
DNB.US,邓白氏
BRZE.US,Braze
SYNH.US,Syneos Health
TDC.US,天睿
TWNK.US,Hostess Brands
BBIO.US,BridgeBio Pharma
ACT.US,Enact Holdings
SM.US,圣玛丽石油勘测
POWI.US,帕沃英蒂格盛
SEB.US,Seaboard
NEU.US,纽马克特
JHG.US,骏利亨德森集团
ORA.US,奥玛特科技
FCFS.US,第一富金融服务
HGV.US,Hilton Grand
NTCO.US,Natura &Co
AL.US,航空租赁
ATS.US,ATS
POR.US,波特兰通用电气
FIZZ.US,全国饮料
PRGO.US,培瑞克
AVT.US,安富利
RRR.US,Red Rock Resorts
EXPO.US,毅博科技咨询
SHC.US,Sotera
IPAR.US,依特香水
PWSC.US,PowerSchool
IAC.US,IAC
MSGS.US,麦迪逊广场花园体育
JOBY.US,Joby Aviation
HUN.US,亨斯曼材料
COLM.US,哥伦比亚户外
DRS.US,Leonardo DRS
WEN.US,温迪
MLCO.US,新濠博亚娱乐
VNO.US,沃纳多房地产基金
PHI.US,菲律宾长途电话
TKC.US,土耳其移动通信
ASH.US,亚什兰
ENIC.US,Enel Chile
VLY.US,硅谷国家银行
HP.US,赫尔默里奇和佩恩材料
ONB.US,欧德国家银行
HOMB.US,首页银行投资
RYN.US,雷欧尼尔
LNTH.US,Lantheus控股
BIPC.US,Brookfield基础设施
SFM.US,豆芽农贸市场
AEL.US,美国股票投资寿险
HTZ.US,赫兹
LNC.US,林肯国民
FELE.US,富兰克林电子
ESAB.US,ESAB
DXC.US,DXC Technology
OGS.US,One Gas
BROS.US,Dutch Bros
NJR.US,新泽西能源
MLI.US,木勒工业
SRCL.US,消毒循环
OZK.US,欧扎克银行
NEOG.US,纽尔真检测
MDU.US,MDU资源
YETI.US,YETI控股
ALIT.US,Alight
BCPC.US,拜切
FOXF.US,福克斯工厂控股
UGP.US,Ultrapar控股
COLB.US,哥伦比亚银行系统
SNV.US,西诺乌斯金融
MMYT.US,MakeMyTrip
EEFT.US,嘉银通
BTG.US,B2gold
THG.US,汉诺威保险
LPX.US,路易斯安那太平洋
FRO.US,前线海运
PLNT.US,星球健身
WTM.US,白山保险集团
BDC.US,百通
RDN.US,瑞迪安集团
BCC.US,Boise Cascade
PECO.US,Phillips Edison
CRUS.US,凌云半导体
MMSI.US,美好医疗系统
FLNC.US,Fluence Energy
ASGN.US,盎塞
VC.US,伟世通
SQSP.US,Squarespace
ESGR.US,恩斯塔
PYCR.US,Paycor HCM
BLKB.US,布莱克波特科技
ENS.US,艾诺斯
CXM.US,Sprinklr
WHD.US,Cactus
DOCS.US,Doximity
GATX.US,Gatx
AUR.US,Aurora Innovation
BXMT.US,黑石抵押信托
ACAD.US,阿卡迪亚
PNM.US,PNM电力瓦斯
LYFT.US,Lyft
FYBR.US,前线通信
TEX.US,特雷克斯
KRC.US,吉劳埃地产
CRC.US,加州资源
NCR.US,NCR
CADE.US,Cadence
SGML.US,Sigma Lithium
CNXC.US,Concentrix
SGRY.US,Surgery Partners
FNB.US,F.N.B.
STR.US,STR Sub
CPA.US,科帕控股
INSM.US,Insmed
ASAN.US,阿莎娜
AEIS.US,先进能源工业
EPRT.US,Essential Properties
CBT.US,卡博特
KBH.US,KB Home
HHH.US,Howard Hughes
ATHM.US,汽车之家
NWL.US,纽威品牌
DNA.US,Ginkgo Bioworks
FLYW.US,Flywire
IMGN.US,ImmunoGen
GPS.US,盖普
EVO.US,Evotec
GKOS.US,Glaukos
SKY.US,Skyline Champion
SPXC.US,斯必克
BSM.US,Black Stone Minerals
SLAB.US,芯科实验室
INST.US,Instructure Holdings
NARI.US,Inari Medical
PLTK.US,Playtika Holding
MAN.US,万宝盛华人力资源
NSP.US,Insperity
GPI.US,汽车一组
NOG.US,Northern石油天然气
FG.US,F&G Annuities & Life
CRSP.US,CRISPR Therapeutics
UBSI.US,联合银行
GOLF.US,高仕利控股
FFIN.US,第一金融银行股份
RUSHB.US,拉什企业B
BKH.US,黑山
FSS.US,联邦信号
VAC.US,万豪度假环球
LPL.US,LG Display
PCH.US,PotlatchDeltic
FUL.US,富乐
ACA.US,Arcosa
SUM.US,峰会材料
NCNO.US,nCino
ARRY.US,Array Technologies
KD.US,Kyndryl Holdings
COOP.US,Mr. Cooper Group
SDRL.US,Seadrill
AB.US,联博控股
ERF.US,艾诺加能源基金
AGO.US,保证担保
PEGA.US,佩格系统
DNP.US,DNP Select Income
CABO.US,Cable One
APLE.US,Apple Hospitality
MP.US,MP Materials
FOLD.US,爱美医疗
CAVA.US,CAVA Group
IBP.US,Installed Building
GT.US,固特异轮胎橡胶
LOPE.US,大峡谷教育
ASO.US,Academy
SMPL.US,易美味
BTE.US,Baytex能源信托
EURN.US,Euronav
TDW.US,潮水海运
USM.US,美国无线电话
AXSM.US,Axsome Therapeutics
BOX.US,Box
DIOD.US,Diodes
CNX.US,康索尔能源
WOR.US,沃辛顿工业
ZGN.US,Ermenegildo Zegna
AAP.US,领先汽车配件
SHLS.US,Shoals Technologies
ADNT.US,Adient
VSH.US,威世科技
CVI.US,CVR能源
HRI.US,Herc Holdings
STEP.US,Stepstone Group
FTAI.US,FTAI Aviation
CRS.US,卡朋特科技
BCO.US,布林克斯
TFSL.US,Tfs Financial
PENN.US,佩恩国民博彩
NNI.US,尼尔网教育信贷
VRNS.US,Varonis Systems
DISH.US,Dish Network
VERX.US,Vertex
PFSI.US,PennyMac金融服务
MAIN.US,主街资本
STNE.US,StoneCo
BL.US,BlackLine
JBT.US,约翰宾技术
SEM.US,精选医疗集团
IRT.US,独立房地产信托
SIG.US,西格内特珠宝
LEG.US,礼恩派
KOS.US,Kosmos能源
RVMD.US,Revolution Medicines
JOE.US,圣乔
CRVL.US,CorVel
RUSHA.US,拉什企业A
PAGP.US,Plains GP
MLTX.US,MoonLake
NPWR.US,NET Power
SYNA.US,Synaptics
CORT.US,Corcept医疗
AVNT.US,Avient
DAVA.US,Endava
KRYS.US,Krystal Biotech
SBRA.US,Sabra保健
AMR.US,Alpha Metallurgical
GTES.US,Gates Industrial
OTTR.US,奥特泰尔
WNS.US,WNS控股
CXT.US,Crane NXT
CCOI.US,Cogent通讯
SID.US,巴西国家黑色冶金
MPW.US,医疗不动产基金
JJSF.US,JJSF食品
CERE.US,Cerevel Therapeutics
ALE.US,阿里特
VRRM.US,Verra Mobility
LTHM.US,Livent
AWI.US,阿姆斯特朗
MQ.US,Marqeta
MC.US,Moelis A
JXN.US,Jackson Financial
GEF.B.US,格瑞夫B
PGNY.US,Progyny
EPR.US,娱乐房地产依托
BUR.US,伯福德资本
NVMI.US,Nova
CUZ.US,卡津斯不动产
ASAI.US,Sendas Distributor
EXTR.US,极速网络
IART.US,英特格拉生命科学
APPN.US,Appian
HWC.US,汉考克惠特尼
AMN.US,AMN医疗服务
QS.US,QuantumScape
GBCI.US,冰川万通金控
CNMD.US,康美
BHF.US,Brighthouse
TDOC.US,Teladoc Health
GEF.US,格瑞夫A
LITE.US,Lumentum控股
ZD.US,Ziff Davis
MATX.US,美森
SLM.US,学贷美
UNF.US,第一联合
FRPT.US,Freshpet
FHI.US,联邦投资
MDC.US,M.D.C. Holdings
LBRT.US,Liberty Energy
SR.US,Spire
ALRM.US,Alarm.com控股
AMED.US,阿米斯医疗
BTU.US,皮博迪能源
GH.US,Guardant Health
UAA.US,安德玛
CD.US,秦淮数据
SVV.US,Savers Value Village
DNLI.US,Denali治疗
NWE.US,Northwestern
MANU.US,曼联
SANM.US,新美亚电子
PTEN.US,Patterson-UTI能源
BB.US,黑莓
CNS.US,科恩-斯蒂尔斯金融
SEAS.US,海洋世界
CEIX.US,CONSOL Energy
NXE.US,Nexgen能源
CALX.US,Calix
CEQP.US,Crestwood Equity
TGNA.US,TEGNA
BPMC.US,蓝图医药
EVH.US,Evolent Health
NEA.US,纽文Amt-free优质市政
BHC.US,Bausch Health
CVLT.US,康沃系统
AWR.US,美洲国家水务
LCII.US,LCI Industries
M.US,梅西百货
CYTK.US,细胞动力科技
APAM.US,Artisan合伙资产管理
LTH.US,Life Time Group
UMBF.US,UMB金融
HI.US,希伦布兰德
URBN.US,都市户外
AEO.US,美国鹰
ESMT.US,EngageSmart
VTMX.US,Vesta Real Estate
AVAV.US,航空环境
SSRM.US,SSR Mining
LIVN.US,LivaNova
NSA.US,National Storage
DOC.US,Physicians Realty
UCBI.US,美国社区银行
WIRE.US,Encore电气线路
ARWR.US,箭头制药
HAYW.US,Hayward Holdings
AZTA.US,Azenta
AI.US,C3.ai
KWR.US,奎克化学
WB.US,微博
CRK.US,康斯托克能源
BRP.US,BRP Group
GSHD.US,Goosehead Insurance
PBH.US,普雷斯蒂奇
NTLA.US,Intellia
RPD.US,Rapid7
SMG.US,斯科兹物种
LAC.US,Lithium Americas
YELP.US,Yelp
ARCH.US,Arch Resources
MEOH.US,梅思恩
TCBI.US,德州资本银行
GO.US,Grocery Outlet
SCPL.US,SciPlay
BE.US,Bloom Energy
YOU.US,Clear Secure
MDGL.US,新泰医药
PDCO.US,帕特森
SPB.US,科博控股
ENOV.US,Enovis
KMPR.US,Kemper
HEP.US,霍利能源
ICUI.US,ICU医疗
UA.US,安德玛C
STNG.US,Scorpio Tankers
RUN.US,Sunrun
MRTX.US,Mirati Therapeutics
VIRT.US,Virtu Financial
HELE.US,海伦特洛伊家电
TSEM.US,Tower半导体
CWT.US,加州水务
BNL.US,Broadstone Net
CSWI.US,Csw
ABR.US,阿伯房地产信托
QRTEB.US,Qurate Retail B
AXNX.US,Axonics
BANF.US,BancFirst银行
SPT.US,Sprout Social
HGTY.US,Hagerty
HCM.US,和黄医药
LXP.US,莱星顿置业信托
RNG.US,RingCentral
PAGS.US,Pagseguro Digital
GNW.US,通用金融
ARLP.US,阿莱恩斯资源
KLIC.US,库力索法半导体
WDFC.US,WD-40
LAZ.US,Lazard
PRTA.US,Prothena
ITRI.US,伊管
GHC.US,格雷厄姆控股
TIGO.US,米雷康姆国际移动通信
KNF.US,Knife River
IFS.US,Intercorp金融服务
COUR.US,Coursera
TPH.US,Tri Pointe Homes
TNL.US,Travel + Leisure
ESE.US,ESCO科技
FROG.US,Jfrog
BRC.US,布雷迪
CNO.US,康塞科
NOMD.US,Nomad Foods
SFBS.US,Servisfirst银行
CLS.US,天弘科技
DY.US,戴康工业
IONQ.US,IonQ
CDP.US,COPT Defense
INMD.US,InMode
ESTE.US,Earthstone能源
AIN.US,奥尔巴尼国际
DBRG.US,DigitalBridge Group
OI.US,欧文斯伊利诺斯玻璃
IMVT.US,Immunovant
MGEE.US,MGE能源
MODG.US,Topgolf Callaway
HMY.US,哈莫尼黄金
SITC.US,SITE Centers
TFPM.US,Triple Flag
ITGR.US,Integer Holdings
LFST.US,LifeStance Health
IRTC.US,iRhythm Technologies
IBOC.US,国际银行
LU.US,陆控
ENV.US,Envestnet
ERJ.US,巴西航空工业
VIST.US,Vista Energy
RARE.US,Ultragenyx药业
AYX.US,Alteryx
CBZ.US,CBIZ
PINC.US,Premier
BGC.US,BGC Group
AVA.US,阿维斯塔
KAI.US,凯登纸业
ABM.US,ABM工业
ASB.US,Associated Banc
FORM.US,FormFactor
PK.US,Park酒店及度假村
ABCB.US,ABC银行
VICR.US,Vicor电子
CSTM.US,Constellium
PIPR.US,派杰投资
SXT.US,森馨
THS.US,树屋食品
EXPI.US,eXp World控股
AKRO.US,Akero Therapeutics
CAMT.US,康特科技
ANF.US,阿贝克隆比 & 费奇
CRI.US,卡特
IMCR.US,Immunocore
GBTG.US,Global Business
HASI.US,Hannon Armstrong
HUBG.US,枢纽
PRVA.US,Privia Health
FIBK.US,First Bancsystem国际
GMS.US,GMS
XPRO.US,Expro Group
ACIW.US,ACI环球
IOSP.US,英诺斯派材料
XRX.US,施乐
CATY.US,国泰万通金控
NPO.US,恩佩罗工业
WD.US,Walker & Dunlop
QFIN.US,奇富科技-S
CENT.US,Central Garden & Pet
ROG.US,罗杰斯
BATRA.US,Atlanta Braves A
PSEC.US,普罗斯佩克特资本
MGRC.US,麦格拉思租赁
NUVL.US,Nuvalent
WERN.US,沃纳企业
YY.US,欢聚
HTGC.US,海格投资
PLXS.US,普雷克萨斯
VSAT.US,卫讯公司
KFY.US,光辉国际
FTRE.US,Fortrea Holdings
HL.US,赫克拉矿业
FTDR.US,Frontdoor
GLNG.US,Golar海运
SHAK.US,Shake Shack
OII.US,国际海洋工程
PRGS.US,Progress Software
ATAT.US,亚朵
MAC.US,马塞里奇房产
NABL.US,N-able
LGIH.US,LGI Homes
GBDC.US,Golub Capital BDC
BOOT.US,Boot Barn
EVTC.US,Evertec
MHO.US,MI 家居
ZLAB.US,再鼎医药
AY.US,Atlantica
TAC.US,全美阿尔塔电力
MRVI.US,Maravai
ARCB.US,ArcBest
KTB.US,Kontoor Brands
CCU.US,智利CCU
FSLY.US,Fastly
GETY.US,Getty Images
HCC.US,Warrior Met Coal
SLG.US,格林不动产
SITM.US,SiTime
SKT.US,坦格尔直销中心
CUK.US,嘉年华
CALM.US,卡尔梅尔食品
REZI.US,Resideo Technologies
FBP.US,第一万能金控
PZZA.US,棒约翰
ACVA.US,ACV Auctions
ENR.US,劲量控股
AESI.US,Atlas Energy
DQ.US,大全新能源
NMIH.US,NMI Holdings
DORM.US,Dorman
SHOO.US,史蒂夫·马登
GLPG.US,Galapagos
OR.US,Osisko Gold
FHB.US,First Hawaiian
TRMD.US,Torm
PSMT.US,普尔斯玛特
NVG.US,纽文Amt-free市政信贷
MOD.US,摩丁制造
SOVO.US,Sovos Brands
VET.US,朱砂能源公司
AX.US,Axos Financial
CAAP.US,Corporacion America
EXG.US,EV税收管理型全球基金
BATRK.US,Atlanta Braves C
CVCO.US,卡寇工业
IIPR.US,Innovative
JWN.US,诺德斯特龙
VRTV.US,Veritiv
ICFI.US,ICF国际
KSS.US,科尔士百货
GSAT.US,全球星
CENTA.US,中央花园和宠物A
CVBF.US,CVB金融
MYRG.US,MYR集团
RLX.US,雾芯科技
XENE.US,Xenon制药
TEO.US,阿根廷电信
OMCL.US,全细胞医护科技
EVEX.US,Eve Holding
CERT.US,Certara
PRMW.US,Primo Water
MRCY.US,Mercury Systems
PACB.US,太平洋生物科学
CRDO.US,Credo Technology
NHI.US,National Health
UPST.US,Upstart
JAMF.US,Jamf Holding
AMPH.US,Amphastar
GDRX.US,Goodrx
HIW.US,海伍兹物业
VCTR.US,Victory Capital
TRIP.US,猫途鹰
MGPI.US,MGP材料
LAUR.US,Laureate Education
STRL.US,Sterling
EBC.US,Eastern Bankshares
AMRC.US,阿梅雷斯克
USAC.US,USA Compression
PAM.US,Pampa能源
NS.US,纽星能源
DRVN.US,Driven Brands
WSFS.US,WSFS金融
PAX.US,Patria Investments
TCN.US,Tricon Residential
HRMY.US,Harmony
CBU.US,社区银行系统
GFF.US,格里丰
PAYO.US,Payoneer Global
BVN.US,布埃纳文图拉开采
TR.US,宝贝卷糖业
RKLB.US,Rocket Lab USA
DAN.US,达纳
HPK.US,HighPeak Energy
GGAL.US,加利西亚金融
INTA.US,Intapp
DOCN.US,DigitalOcean
DNUT.US,Krispy Kreme
CNK.US,喜满客影城
CCS.US,Century Communities
LSPD.US,Lightspeed
RXO.US,RXO
IDCC.US,交叉指型科技
LZ.US,Legalzoom.com
INDB.US,美国独立银行
BLMN.US,Bloomin'Brands
FCPT.US,四角财产信托
KW.US,Kennedy-Wilson控股
PD.US,PagerDuty
AUB.US,Atlantic Union
MTRN.US,Materion
DEI.US,道格拉斯艾美特
AIR.US,AAR
TIXT.US,TELUS International
AMBA.US,安霸
BRFS.US,BRF
SDGR.US,Schrodinger
GPOR.US,格尔夫波特能源
NVEI.US,Nuvei
INSW.US,International航道
PRFT.US,Perficient
DFH.US,Dream Finders Homes
SFNC.US,西蒙斯第一国民银行
TRN.US,Trinity Industries
CRGY.US,Crescent Energy
PARR.US,Par Pacific
ALG.US,阿拉莫
XPEL.US,XPEL
ROCK.US,直布罗陀工业
DOOR.US,美森特
WLY.US,约翰威立 A
PPBI.US,太平洋第一合众银行
VIAV.US,Viavi Solutions
ADX.US,Adams Diversified
TROX.US,Tronox控股
FUN.US,雪松娱乐
NAVI.US,Navient
GDS.US,万国数据
VTYX.US,Ventyx Biosciences
ARCO.US,Arcos Dorados
EQC.US,Equity Commonwealth
FA.US,First Advantage
TDS.US,电话和数据系统
NTCT.US,网侦系统
SIX.US,六旗娱乐
CTRE.US,房地产投资信托基金
BMBL.US,Bumble
FULT.US,富尔顿金融
SNEX.US,StoneX
CARG.US,CarGurus
TALO.US,Talos Energy
RNW.US,ReNew Energy Global
CRCT.US,Cricut
SJW.US,SJW
GTX.US,Garrett Motion
UEC.US,Uranium Energy
RAMP.US,LiveRamp
KMT.US,肯纳金属
MWA.US,Mueller Water Products
EGO.US,埃尔拉多黄金
ATRC.US,AtriCure
HURN.US,休伦咨询
LRN.US,Stride
EPC.US,Edgewell个人护理用品
PAY.US,Paymentus Holdings
FSR.US,Fisker
BOH.US,夏威夷银行
AROC.US,Archrock
STAA.US,斯达外科手术
AMK.US,AssetMark金融控股
